,summer song,summer artist,year summer,winter song,winter artist,year winter
64,1-800-273-8255, Logic Featuring Alessia Cara & Khalid,2017,When It Rains It Pours, Luke Combs,2017
65,You Look Good, Lady Antebellum,2017,Lights Down Low, MAX Featuring gnash,2017
66,Heavy, Linkin Park Featuring Kiiara,2017,Yours, Russell Dickerson,2017
67,Privacy, Chris Brown,2017,Betrayed, Lil Xan,2017
68,Drinkin Problem, Midland,2017,Unforgettable, Thomas Rhett,2017
69,Felices Los 4, Maluma,2017,Round Here Buzz, Eric Church,2017
70,Black, Dierks Bentley,2017,MIC Drop, BTS Featuring Desiigner,2017
71,Flatliner, Cole Swindell,2017,Look What You Made Me Do, Taylor Swift,2017
72,4 AM, 2 Chainz Featuring Travis Scott,2017,Pick It Up, Famous Dex Featuring A$AP Rocky,2017
73,Loyalty., Kendrick Lamar Featuring Rihanna,2017,The Race, Tay-K,2017
74,Losin Control, Russ,2017,Echame La Culpa, Luis Fonsi & Demi Lovato,2017
75,Yours If You Want It, Rascal Flatts,2017,Wanted You, NAV Featuring Lil Uzi Vert,2017
76,No Promises, Cheat Codes Featuring Demi Lovato,2017,Losing Sleep, Chris Young,2017
77,No Such Thing As A Broken Heart, Old Dominion,2017,Dusk Till Dawn, Zayn Featuring Sia,2017
78,Weak, AJR,2017,Love So Soft, Kelly Clarkson,2017
79,Wokeuplikethis*, Playboi Carti Featuring Lil Uzi Vert,2017,I Could Use A Love Song, Maren Morris,2017
80,Thunder, Imagine Dragons,2017,Ghostface Killers," 21 Savage, Offset & Metro Boomin Featuring Travis Scott",2017
81,Whatever You Need, Meek Mill Featuring Chris Brown & Ty Dolla $ign,2017,F**k Love, XXXTENTACION Featuring Trippie Redd,2017
82,Swish Swish, Katy Perry Featuring Nicki Minaj,2017,Mayores, Becky G Featuring Bad Bunny,2017
83,Good Drank, 2 Chainz x Gucci Mane x Quavo,2017,You Broke Up With Me, Walker Hayes,2017
84,Small Town Boy, Dustin Lynch,2017,Krippy Kush," Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",2017
85,Most Girls, Hailee Steinfeld,2017,When We, Tank,2017
86,Know No Better," Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",2017,Jocelyn Flores, XXXTENTACION,2017
87,Do Re Mi, Blackbear,2017,Written In The Sand, Old Dominion,2017
88,Peek A Boo, Lil Yachty Featuring Migos,2017,Too Much To Ask, Niall Horan,2017
89,Hometown Girl, Josh Turner,2017,Broken Halos, Chris Stapleton,2017
90,Gyalchester, Drake,2017,All On Me, Devin Dawson,2017
91,Met Gala, Gucci Mane Featuring Offset,2017,Transportin, Kodak Black,2017
92,Butterfly Effect, Travis Scott,2017,Juice, Yo Gotti,2017
93,Its Everyday Bro, Jake Paul Featuring Team 10,2017,Ask Me How I Know, Garth Brooks,2017
94,Scared To Be Lonely, Martin Garrix & Dua Lipa,2017,Bella y Sensual, Romeo Santos Featuring Nicky Jam & Daddy Yankee,2017
95,Subeme La Radio," Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",2017,Faking It, Calvin Harris Featuring Kehlani & Lil Yachty,2017
96,Somebody Else Will, Justin Moore,2017,Marry Me, Thomas Rhett,2017
97,Bon Appetit, Katy Perry Featuring Migos,2017,Five More Minutes, Scotty McCreery,2017
98,Nobody Else But You, Trey Songz,2017,Criminal, Natti Natasha x Ozuna,2017
99,Human, Rag'n'Bone Man,2017,Sauce It Up, Lil Uzi Vert,2017
100,One Dance, Drake Featuring WizKid & Kyla,2016,Black Beatles, Rae Sremmurd Featuring Gucci Mane,2016
101,Panda, Desiigner,2016,Starboy, The Weeknd Featuring Daft Punk,2016
102,Cant Stop The Feeling!, Justin Timberlake,2016,Closer, The Chainsmokers Featuring Halsey,2016
103,Dont Let Me Down, The Chainsmokers Featuring Daya,2016,24K Magic, Bruno Mars,2016
104,Work From Home, Fifth Harmony Featuring Ty Dolla $ign,2016,Side To Side, Ariana Grande Featuring Nicki Minaj,2016
105,7 Years, Lukas Graham,2016,Juju On That Beat (TZ Anthem), Zay Hilfigerrr & Zayion McCall,2016
106,This Is What You Came For, Calvin Harris Featuring Rihanna,2016,Dont Wanna Know, Maroon 5 Featuring Kendrick Lamar,2016
107,I Took A Pill In Ibiza, Mike Posner,2016,Let Me Love You, DJ Snake Featuring Justin Bieber,2016
108,Needed Me, Rihanna,2016,Heathens, twenty one pilots,2016
109,Just Like Fire, P!nk,2016,Bad Things, Machine Gun Kelly x Camila Cabello,2016
110,Dont Mind, Kent Jones,2016,Fake Love, Drake,2016
111,Work, Rihanna Featuring Drake,2016,Broccoli, D.R.A.M. Featuring Lil Yachty,2016
112,Cheap Thrills, Sia Featuring Sean Paul,2016,Scars To Your Beautiful, Alessia Cara,2016
113,Dangerous Woman, Ariana Grande,2016,Starving, Hailee Steinfeld & Grey Featuring Zedd,2016
114,Ride, twenty one pilots,2016,Caroline, Amine,2016
115,Never Forget You, Zara Larsson & MNEK,2016,I Hate U I Love U, gnash Featuring Olivia O'Brien,2016
116,H.O.L.Y., Florida Georgia Line,2016,All I Want For Christmas Is You, Mariah Carey,2016
117,For Free, DJ Khaled Featuring Drake,2016,The Greatest, Sia Featuring Kendrick Lamar,2016
118,Love Yourself, Justin Bieber,2016,Treat You Better, Shawn Mendes,2016
119,Pillowtalk, Zayn,2016,Love On The Brain, Rihanna,2016
120,Stressed Out, twenty one pilots,2016,Cold Water, Major Lazer Featuring Justin Bieber & MO,2016
121,Cake By The Ocean, DNCE,2016,Unsteady, X Ambassadors,2016
122,My House, Flo Rida,2016,Love Me Now, John Legend,2016
123,Controlla, Drake,2016,Bad And Boujee, Migos Featuring Lil Uzi Vert,2016
124,Lost Boy, Ruth B,2016,In The Name Of Love, Martin Garrix & Bebe Rexha,2016
125,Low Life, Future Featuring The Weeknd,2016,Cheap Thrills, Sia Featuring Sean Paul,2016
126,Close, Nick Jonas Featuring Tove Lo,2016,OOOUUU, Young M.A,2016
127,Send My Love (To Your New Lover), Adele,2016,I Feel It Coming, The Weeknd Featuring Daft Punk,2016
128,All The Way Up," Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",2016,Party Monster, The Weeknd,2016
129,"Me, Myself & I", G-Eazy x Bebe Rexha,2016,Blue Aint Your Color, Keith Urban,2016
130,Me Too, Meghan Trainor,2016,Dont Let Me Down, The Chainsmokers Featuring Daya,2016
131,Let It Go, James Bay,2016,Cant Stop The Feeling!, Justin Timberlake,2016
132,Too Good, Drake Featuring Rihanna,2016,All Time Low, Jon Bellion,2016
133,Treat You Better, Shawn Mendes,2016,Chill Bill, Rob $tone Featuring J. Davi$ & Spooks,2016
134,Oui, Jeremih,2016,Jingle Bell Rock, Bobby Helms,2016
135,Sorry, Justin Bieber,2016,This Is What You Came For, Calvin Harris Featuring Rihanna,2016
136,Cut It, O.T. Genasis Featuring Young Dolph,2016,Rockin Around The Christmas Tree, Brenda Lee,2016
137,Exchange, Bryson Tiller,2016,Mercy, Shawn Mendes,2016
138,2 Phones, Kevin Gates,2016,Bounce Back, Big Sean,2016
139,Humble And Kind, Tim McGraw,2016,Ride, twenty one pilots,2016
140,Sorry, Beyonce,2016,This Town, Niall Horan,2016
141,Pop Style, Drake Featuring The Throne,2016,May We All, Florida Georgia Line Featuring Tim McGraw,2016
142,"Huntin, Fishin & Lovin Every Day", Luke Bryan,2016,X, 21 Savage & Metro Boomin Featuring Future,2016
143,Wicked, Future,2016,Do You Mind," DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",2016
144,T-Shirt, Thomas Rhett,2016,Hallelujah, Pentatonix,2016
145,Never Be Like You, Flume Featuring Kai,2016,Needed Me, Rihanna,2016
146,Into You, Ariana Grande,2016,One Dance, Drake Featuring WizKid & Kyla,2016
147,Unsteady, X Ambassadors,2016,Redbone, Childish Gambino,2016
148,Middle, DJ Snake Featuring Bipolar Sunshine,2016,You Was Right, Lil Uzi Vert,2016
149,No, Meghan Trainor,2016,Reminder, The Weeknd,2016
150,Wild Things, Alessia Cara,2016,Used To This, Future Featuring Drake,2016
151,Kill Em With Kindness, Selena Gomez,2016,Million Reasons, Lady Gaga,2016
152,Really Really, Kevin Gates,2016,Wanna Be That Song, Brett Eldredge,2016
153,Came Here To Forget, Blake Shelton,2016,Sidewalks, The Weeknd Featuring Kendrick Lamar,2016
154,Uber Everywhere, MadeinTYO,2016,Six Feet Under, The Weeknd,2016
155,My Church, Maren Morris,2016,Come And See Me, PARTYNEXTDOOR Featuring Drake,2016
156,Somewhere On A Beach, Dierks Bentley,2016,No Heart, 21 Savage & Metro Boomin,2016
157,Church Bells, Carrie Underwood,2016,Water Under The Bridge, Adele,2016
158,From The Ground Up, Dan + Shay,2016,Song For Another Time, Old Dominion,2016
159,Lights Come On, Jason Aldean,2016,Say You Wont Let Go, James Arthur,2016
160,I Hate U I Love U, gnash Featuring Olivia O'Brien,2016,Tiimmy Turner, Desiigner,2016
161,Wasted Time, Keith Urban,2016,Pick Up The Phone, Young Thug And Travis Scott Featuring Quavo,2016
162,Wake Up, Fetty Wap,2016,Sneakin, Drake Featuring 21 Savage,2016
163,Messin Around, Pitbull Featuring Enrique Iglesias,2016,Too Much Sauce, DJ ESCO Featuring Future & Lil Uzi Vert,2016
164,Body, Dreezy Featuring Jeremih,2016,Black Barbies, Nicki Minaj X Mike WiLL Made-It,2016
165,The Sound Of Silence, Disturbed,2016,Secrets, The Weeknd,2016
166,Head Over Boots, Jon Pardi,2016,Better Man, Little Big Town,2016
167,Record Year, Eric Church,2016,Me And Your Mama, Childish Gambino,2016
168,Hype, Drake,2016,Dirty Laundry, Carrie Underwood,2016
169,Snapback, Old Dominion,2016,How Far Ill Go, Auli'i Cravalho,2016
170,You Dont Own Me, Grace Featuring G-Eazy,2016,Die For You, The Weeknd,2016
171,Childs Play, Drake,2016,1 Night, Lil Yachty,2016
172,Still Here, Drake,2016,Fresh Eyes, Andy Grammer,2016
173,Wherever I Go, OneRepublic,2016,Sleep Without You, Brett Young,2016
174,Nothing Is Promised, Mike WiLL Made-It x Rihanna,2016,HandClap, Fitz And The Tantrums,2016
175,Light It Up, Major Lazer Featuring Nyla & Fuse ODG,2016,Home, gnash Featuring Johnny Yukon,2016
176,Grammys, Drake Featuring Future,2016,Play That Song, Train,2016
177,Think Of You, Chris Young Duet With Cassadee Pope,2016,True Colors, The Weeknd,2016
178,Gold, Kiiara,2016,Chantaje, Shakira Featuring Maluma,2016
179,Noise, Kenny Chesney,2016,Middle Of A Memory, Cole Swindell,2016
180,Peter Pan, Kelsea Ballerini,2016,A Guy With A Girl, Blake Shelton,2016
181,Make You Miss Me, Sam Hunt,2016,Rockin, The Weeknd,2016
182,American Country Love Song, Jake Owen,2016,All I Know, The Weeknd Featuring Future,2016
183,Might Not, Belly Featuring The Weeknd,2016,Thats My Girl, Fifth Harmony,2016
184,With You, Drake Featuring PARTYNEXTDOOR,2016,Star Of The Show, Thomas Rhett,2016
185,"Sit Still, Look Pretty", Daya,2016,False Alarm, The Weeknd,2016
186,Mind Reader, Dustin Lynch,2016,Setting The World On Fire, Kenny Chesney Featuring P!nk,2016
187,Formation, Beyonce,2016,How Ill Always Be, Tim McGraw,2016
188,With You Tonight / Hasta El Amanecer, Nicky Jam,2016,All We Know, The Chainsmokers Featuring Phoebe Ryan,2016
189,Ophelia, The Lumineers,2016,Selfish, PnB Rock,2016
190,Feel No Ways, Drake,2016,My Sh*t, A Boogie Wit da Hoodie,2016
191,Faded, Alan Walker,2016,Youre Welcome, Dwayne Johnson,2016
192,Fix, Chris Lane,2016,False Prophets, J. Cole,2016
193,Law, Yo Gotti Featuring E-40,2016,Alone, Marshmello,2016
194,Piece By Piece, Kelly Clarkson,2016,Dirt On My Boots, Jon Pardi,2016
195,Kiss It Better, Rihanna,2016,Attention, The Weeknd,2016
196,Father Stretch My Hands Pt. 1, Kanye West,2016,Ordinary Life, The Weeknd,2016
197,Moolah, Young Greatness,2016,Sex With Me, Rihanna,2016
198,No Problem, Chance The Rapper Featuring Lil Wayne & 2 Chainz,2016,What They Want, Russ,2016
199,Youth, Troye Sivan,2016,Rockabye, Clean Bandit Featuring Sean Paul & Anne-Marie,2016
200,See You Again, Wiz Khalifa Featuring Charlie Puth,2015,Hello, Adele,2015
201,Bad Blood, Taylor Swift Featuring Kendrick Lamar,2015,Sorry, Justin Bieber,2015
202,Trap Queen, Fetty Wap,2015,Hotline Bling, Drake,2015
203,Shut Up And Dance, WALK THE MOON,2015,What Do You Mean?, Justin Bieber,2015
204,Want To Want Me, Jason Derulo,2015,Love Yourself, Justin Bieber,2015
205,Uptown Funk!, Mark Ronson Featuring Bruno Mars,2015,The Hills, The Weeknd,2015
206,Earned It (Fifty Shades Of Grey), The Weeknd,2015,Stitches, Shawn Mendes,2015
207,Hey Mama," David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",2015,Here, Alessia Cara,2015
208,"Honey, Im Good.", Andy Grammer,2015,Same Old Love, Selena Gomez,2015
209,Sugar, Maroon 5,2015,Like Im Gonna Lose You, Meghan Trainor Featuring John Legend,2015
210,Cheerleader, OMI,2015,679, Fetty Wap Featuring Remy Boyz,2015
211,Talking Body, Tove Lo,2015,Exs & Ohs, Elle King,2015
212,Nasty Freestyle, T-Wayne,2015,On My Mind, Ellie Goulding,2015
213,You Know You Like It, DJ Snake & AlunaGeorge,2015,Jumpman, Drake & Future,2015
214,Watch Me, Silento,2015,Cant Feel My Face, The Weeknd,2015
215,Post To Be, Omarion Featuring Chris Brown & Jhene Aiko,2015,Antidote, Travis Scott,2015
216,Love Me Like You Do, Ellie Goulding,2015,Lean On, Major Lazer & DJ Snake Featuring MO,2015
217,Worth It, Fifth Harmony Featuring Kid Ink,2015,Wildest Dreams, Taylor Swift,2015
218,Where Are U Now, Skrillex & Diplo With Justin Bieber,2015,In The Night, The Weeknd,2015
219,Thinking Out Loud, Ed Sheeran,2015,Dont, Bryson Tiller,2015
220,The Hills, The Weeknd,2015,Somebody To Love, Jordan Smith,2015
221,Lean On, Major Lazer & DJ Snake Featuring MO,2015,All I Want For Christmas Is You, Mariah Carey,2015
222,This Summers Gonna Hurt..., Maroon 5,2015,White Iverson, Post Malone,2015
223,B**** Better Have My Money, Rihanna,2015,Focus, Ariana Grande,2015
224,Fight Song, Rachel Platten,2015,Die A Happy Man, Thomas Rhett,2015
225,Dear Future Husband, Meghan Trainor,2015,Watch Me, Silento,2015
226,Slow Motion, Trey Songz,2015,Trap Queen, Fetty Wap,2015
227,Somebody, Natalie La Rose Featuring Jeremih,2015,Stressed Out, twenty one pilots,2015
228,Girl Crush, Little Big Town,2015,Roses, The Chainsmokers Featuring Rozes,2015
229,Flex (Ooh Ooh Ooh), Rich Homie Quan,2015,Say It, Tory Lanez,2015
230,Style, Taylor Swift,2015,Confident, Demi Lovato,2015
231,G.D.F.R., Flo Rida Featuring Sage The Gemini & Lookas,2015,Perfect, One Direction,2015
232,Elastic Heart, Sia,2015,Locked Away, R. City Featuring Adam Levine,2015
233,Budapest, George Ezra,2015,Break Up In A Small Town, Sam Hunt,2015
234,Take Your Time, Sam Hunt,2015,Where Ya At, Future Featuring Drake,2015
235,The Night Is Still Young, Nicki Minaj,2015,"Me, Myself & I", G-Eazy x Bebe Rexha,2015
236,Blank Space, Taylor Swift,2015,No Role Modelz, J. Cole,2015
237,Shake It Off, Taylor Swift,2015,Where Are U Now, Skrillex & Diplo With Justin Bieber,2015
238,Sangria, Blake Shelton,2015,Adventure Of A Lifetime, Coldplay,2015
239,Bright, Echosmith,2015,Good For You, Selena Gomez Featuring A$AP Rocky,2015
240,Kick The Dust Up, Luke Bryan,2015,See You Again, Wiz Khalifa Featuring Charlie Puth,2015
241,Photograph, Ed Sheeran,2015,Again, Fetty Wap,2015
242,Chains, Nick Jonas,2015,Cheerleader, OMI,2015
243,Sippin On Fire, Florida Georgia Line,2015,Rockin Around The Christmas Tree, Brenda Lee,2015
244,Be Real, Kid Ink Featuring DeJ Loaf,2015,Hit The Quan, iLoveMemphis,2015
245,Blessings, Big Sean Featuring Drake,2015,Drag Me Down, One Direction,2015
246,Phenomenal, Eminem,2015,Burning House, Cam,2015
247,Time Of Our Lives, Pitbull & Ne-Yo,2015,Hide Away, Daya,2015
248,Dont It, Billy Currington,2015,Back Up, DeJ Loaf Featuring Big Sean,2015
249,Fun, Pitbull Featuring Chris Brown,2015,Renegades, X Ambassadors,2015
250,One Last Time, Ariana Grande,2015,Ill Show You, Justin Bieber,2015
251,Pretty Girls, Britney Spears & Iggy Azalea,2015,I Know What You Did Last Summer, Shawn Mendes & Camila Cabello,2015
252,Love Me Like You Mean It, Kelsea Ballerini,2015,Exchange, Bryson Tiller,2015
253,Uma Thurman, Fall Out Boy,2015,Gonna, Blake Shelton,2015
254,Little Toy Guns, Carrie Underwood,2015,My House, Flo Rida,2015
255,Wild Child, Kenny Chesney With Grace Potter,2015,Used To Love You, Gwen Stefani,2015
256,Commas, Future,2015,WTF (Where They From), Missy Elliott Featuring Pharrell Williams,2015
257,"Ulay, Oh", How I Became The Bomb,2015,Lay It All On Me, Rudimental Featuring Ed Sheeran,2015
258,Smoke, A Thousand Horses,2015,Stay A Little Longer, Brothers Osborne,2015
259,I Really Like You, Carly Rae Jepsen,2015,Do It Like Me, DLOW,2015
260,Love You Like That, Canaan Smith,2015,Stand By You, Rachel Platten,2015
261,Classic Man, Jidenna Featuring Roman GianArthur,2015,The Fix, Nelly Featuring Jeremih,2015
262,Baby Be My Love Song, Easton Corbin,2015,Cake By The Ocean, DNCE,2015
263,Like A Wrecking Ball, Eric Church,2015,Big Rings, Drake & Future,2015
264,Truffle Butter, Nicki Minaj Featuring Drake & Lil Wayne,2015,Gonna Know We Were Here, Jason Aldean,2015
265,Tonight Looks Good On You, Jason Aldean,2015,Back To Back, Drake,2015
266,Crash And Burn, Thomas Rhett,2015,Home Alone Tonight, Luke Bryan Featuring Karen Fairchild,2015
267,Diamond Rings And Old Barstools, Tim McGraw With Catherine Dunn,2015,Down In The DM, Yo Gotti Featuring Nicki Minaj,2015
268,Wet Dreamz, J. Cole,2015,Nothin Like You, Dan + Shay,2015
269,One Hell Of An Amen, Brantley Gilbert,2015,The Feeling, Justin Bieber Featuring Halsey,2015
270,I Need Your Love," Shaggy Featuring Mohombi, Faydee, Costi",2015,I Got The Boy, Jana Kramer,2015
271,Lay Me Down, Sam Smith,2015,Best Friend, Young Thug,2015
272,The Matrimony, Wale Featuring Usher,2015,Top Of The World, Tim McGraw,2015
273,Flashlight, Jessie J,2015,I Love This Life, LOCASH,2015
274,Loving You Easy, Zac Brown Band,2015,One Call Away, Charlie Puth,2015
275,FourFiveSeconds, Rihanna & Kanye West & Paul McCartney,2015,Downtown," Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",2015
276,How Many Times," DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",2015,Hands To Myself, Selena Gomez,2015
277,Stitches, Shawn Mendes,2015,When We Were Young, Adele,2015
278,Crushin It, Brad Paisley,2015,Come Get Her, Rae Sremmurd,2015
279,Know Yourself, Drake,2015,Strip It Down, Luke Bryan,2015
280,Buy Me A Boat, Chris Janson,2015,Blase, Ty Dolla $ign Featuring Future & Rae Sremmurd,2015
281,Nasty, Bandit Gang Marco Featuring Dro,2015,New Americana, Halsey,2015
282,El Perdon (Forgiveness), Nicky Jam & Enrique Iglesias,2015,Smoke Break, Carrie Underwood,2015
283,L$D, A$AP Rocky,2015,Irresistible, Fall Out Boy,2015
284,House Party, Sam Hunt,2015,Purpose, Justin Bieber,2015
285,Energy, Drake,2015,Dibs, Kelsea Ballerini,2015
286,Kiss You In The Morning, Michael Ray,2015,$ave Dat Money, Lil Dicky Featuring Fetty Wap & Rich Homie Quan,2015
287,Planez, Jeremih Featuring J. Cole,2015,Right Hand, Drake,2015
288,Believe, Mumford & Sons,2015,Dessert, Dawin,2015
289,Young & Crazy, Frankie Ballard,2015,Mark My Words, Justin Bieber,2015
290,All Day," Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",2015,Already Callin You Mine, Parmalee,2015
291,Everyday, A$AP Rocky Featuring Rod Stewart x Miguel x Mark Ronson,2015,Play No Games, Big Sean Featuring Chris Brown & Ty Dolla $ign,2015
292,I Want You To Know, Zedd Featuring Selena Gomez,2015,Backroad Song, Granger Smith,2015
293,Renegades, X Ambassadors,2015,Random, G-Eazy,2015
294,I Dont Get Tired (#IDGT), Kevin Gates Featuring August Alsina,2015,Company, Justin Bieber,2015
295,Hood Go Crazy, Tech N9Ne Featuring 2 Chainz & B.o.B,2015,No Pressure, Justin Bieber Featuring Big Sean,2015
296,Electric Body, A$AP Rocky Featuring ScHoolboy Q,2015,Sorry, Rick Ross Featuring Chris Brown,2015
297,You Changed Me, Jamie Foxx Featuring Chris Brown,2015,Drifting, G-Eazy Featuring Chris Brown & Tory Lanez,2015
298,Hell Of A Night, Dustin Lynch,2015,Liquor, Chris Brown,2015
299,Get Low, Dillon Francis & DJ Snake,2015,Beautiful Drug, Zac Brown Band,2015
300,Fancy, Iggy Azalea Featuring Charli XCX,2014,Blank Space, Taylor Swift,2014
301,Problem, Ariana Grande Featuring Iggy Azalea,2014,Take Me To Church, Hozier,2014
302,All Of Me, John Legend,2014,All About That Bass, Meghan Trainor,2014
303,Turn Down For What, DJ Snake & Lil Jon,2014,Animals, Maroon 5,2014
304,Wiggle, Jason Derulo Featuring Snoop Dogg,2014,Uptown Funk!, Mark Ronson Featuring Bruno Mars,2014
305,Happy, Pharrell Williams,2014,Shake It Off, Taylor Swift,2014
306,Rude, MAGIC!,2014,Im Not The Only One, Sam Smith,2014
