,0,1,2,3
86,Jocelyn Flores, XXXTENTACION,spotify:track:7m9OqQk4RVRkw9JJdeAw96,2017
87,Written In The Sand, Old Dominion,spotify:track:2A69wys3S9uiPSmn6UZWJn,2017
88,Too Much To Ask, Niall Horan,spotify:track:39jXnbACjiaiTwwhsr5sY5,2017
89,Broken Halos, Chris Stapleton,spotify:track:06gD2ZtK3Dzc1BYqWExQJJ,2017
90,All On Me, Devin Dawson,spotify:track:2mfahQ0EaaZWq4cFNg6A1o,2017
91,Transportin, Kodak Black,spotify:track:1WIZiOuNO3woKfdlSK2gNn,2017
92,Juice, Yo Gotti,spotify:track:1psC5iHzQxaTMZ5dWGfM6I,2017
93,Ask Me How I Know, Garth Brooks,spotify:track:55YVVetvm37z3oTHrdD5dV,2017
94,Bella y Sensual, Romeo Santos Featuring Nicky Jam & Daddy Yankee,N/A,2017
95,Faking It, Calvin Harris Featuring Kehlani & Lil Yachty,N/A,2017
96,Marry Me, Thomas Rhett,spotify:track:0OWZFobGSIW9GrSlQ9C5pc,2017
97,Five More Minutes, Scotty McCreery,spotify:track:66IULVOTImQG2u0cJ3Ls04,2017
98,Criminal, Natti Natasha x Ozuna,spotify:track:08Zs7WozVFhEKiD7yrHwYq,2017
99,Sauce It Up, Lil Uzi Vert,spotify:track:1uL78kFWxhz3umTMWJu8n5,2017
100,Black Beatles, Rae Sremmurd Featuring Gucci Mane,N/A,2016
101,Starboy, The Weeknd Featuring Daft Punk,N/A,2016
102,Closer, The Chainsmokers Featuring Halsey,N/A,2016
103,24K Magic, Bruno Mars,spotify:track:6b8Be6ljOzmkOmFslEb23P,2016
104,Side To Side, Ariana Grande Featuring Nicki Minaj,spotify:track:2bzY0Pp9o8CxnZcFt9xpPk,2016
105,Juju On That Beat (TZ Anthem), Zay Hilfigerrr & Zayion McCall,spotify:track:6VQ1iGUwAyFugBI73h1iqs,2016
106,Dont Wanna Know, Maroon 5 Featuring Kendrick Lamar,N/A,2016
107,Let Me Love You, DJ Snake Featuring Justin Bieber,N/A,2016
108,Heathens, twenty one pilots,spotify:track:6i0V12jOa3mr6uu4WYhUBr,2016
109,Bad Things, Machine Gun Kelly x Camila Cabello,spotify:track:3XjqLgDutxuGWZlZU1yisE,2016
110,Fake Love, Drake,spotify:track:343YBumqHu19cGoGARUTsd,2016
111,Broccoli, D.R.A.M. Featuring Lil Yachty,N/A,2016
112,Scars To Your Beautiful, Alessia Cara,spotify:track:0prNGof3XqfTvNDxHonvdK,2016
113,Starving, Hailee Steinfeld & Grey Featuring Zedd,N/A,2016
114,Caroline, Amine,spotify:track:5hTpBe8h35rJ67eAWHQsJx,2016
115,I Hate U I Love U, gnash Featuring Olivia O'Brien,spotify:track:7tiFDrsiqKOHoQRfhfuuUt,2016
116,All I Want For Christmas Is You, Mariah Carey,spotify:track:0bYg9bo50gSsH3LtXe2SQn,2016
117,The Greatest, Sia Featuring Kendrick Lamar,N/A,2016
118,Treat You Better, Shawn Mendes,spotify:track:3QGsuHI8jO1Rx4JWLUh9jd,2016
119,Love On The Brain, Rihanna,spotify:track:2aksifNn5ph8igDOkPBA02,2016
120,Cold Water, Major Lazer Featuring Justin Bieber & MO,spotify:track:2NF1uA6J6jiaCm8WIERTLp,2016
121,Unsteady, X Ambassadors,spotify:track:7lGKEWMXVWWTt3X71Bv44I,2016
122,Love Me Now, John Legend,spotify:track:6hdkw1wzhIRYPlYDUtCY5m,2016
123,Bad And Boujee, Migos Featuring Lil Uzi Vert,N/A,2016
124,In The Name Of Love, Martin Garrix & Bebe Rexha,spotify:track:416gX1P01K2VFoazKcnNZH,2016
125,Cheap Thrills, Sia Featuring Sean Paul,spotify:track:3jJ87Vmc2crgFweesjENrq,2016
126,OOOUUU, Young M.A,spotify:track:0D21XvHcVsIvJM6FcGY2BT,2016
127,I Feel It Coming, The Weeknd Featuring Daft Punk,spotify:track:5oKvTEwB06X4m2q7xFW2NQ,2016
128,Party Monster, The Weeknd,spotify:track:4F7A0DXBrmUAkp32uenhZt,2016
129,Blue Aint Your Color, Keith Urban,spotify:track:6wycnu8FWXsj68ig7BEot9,2016
130,Dont Let Me Down, The Chainsmokers Featuring Daya,spotify:track:3lnJwpPHQbtoWGzqRWzmzJ,2016
131,Cant Stop The Feeling!, Justin Timberlake,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,2016
132,All Time Low, Jon Bellion,spotify:track:0SuLAslEMFZAXf0SwY7syi,2016
133,Chill Bill, Rob $tone Featuring J. Davi$ & Spooks,N/A,2016
134,Jingle Bell Rock, Bobby Helms,spotify:track:6xE98wKYt4vZk8j7cctjw8,2016
135,This Is What You Came For, Calvin Harris Featuring Rihanna,spotify:track:31XvIIkAoO5PDongqRuyWX,2016
136,Rockin Around The Christmas Tree, Brenda Lee,spotify:track:28fuXrmmF9dYWx25dMW9dP,2016
137,Mercy, Shawn Mendes,spotify:track:0AS63m1wHv9n4VVRizK6Hc,2016
138,Bounce Back, Big Sean,spotify:track:0SGkqnVQo9KPytSri1H6cF,2016
139,Ride, twenty one pilots,spotify:track:2Z8WuEywRWYTKe1NybPQEW,2016
140,This Town, Niall Horan,spotify:track:5dTJMpqiELczVuHJP3OAEu,2016
141,May We All, Florida Georgia Line Featuring Tim McGraw,N/A,2016
142,X, 21 Savage & Metro Boomin Featuring Future,N/A,2016
143,Do You Mind," DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",N/A,2016
144,Hallelujah, Pentatonix,spotify:track:0HZk0QsXPhMNAWNDR3rYE8,2016
145,Needed Me, Rihanna,spotify:track:1Tt4sE4pXi57mTD1GCzsqm,2016
146,One Dance, Drake Featuring WizKid & Kyla,N/A,2016
147,Redbone, Childish Gambino,spotify:track:3kxfsdsCpFgN412fpnW85Y,2016
148,You Was Right, Lil Uzi Vert,spotify:track:2ANLarE8yHVsLWW21nj79M,2016
149,Reminder, The Weeknd,spotify:track:37F0uwRSrdzkBiuj0D5UHI,2016
150,Used To This, Future Featuring Drake,N/A,2016
151,Million Reasons, Lady Gaga,spotify:track:7dZ1Odmx9jWIweQSatnRqo,2016
152,Wanna Be That Song, Brett Eldredge,N/A,2016
153,Sidewalks, The Weeknd Featuring Kendrick Lamar,N/A,2016
154,Six Feet Under, The Weeknd,spotify:track:4mU5iXHeLgbR94siF7p1sY,2016
155,Come And See Me, PARTYNEXTDOOR Featuring Drake,N/A,2016
156,No Heart, 21 Savage & Metro Boomin,spotify:track:2BhySrThwoRJfP6w6BilAj,2016
157,Water Under The Bridge, Adele,spotify:track:4vb4mFvYsr2h6enhjJsq9Y,2016
158,Song For Another Time, Old Dominion,spotify:track:7px4t7HGiuMUvFkEOpZEwp,2016
159,Say You Wont Let Go, James Arthur,spotify:track:5uCax9HTNlzGybIStD3vDh,2016
160,Tiimmy Turner, Desiigner,spotify:track:3NJG6vMH1ZsectZkocMEm0,2016
161,Pick Up The Phone, Young Thug And Travis Scott Featuring Quavo,N/A,2016
162,Sneakin, Drake Featuring 21 Savage,N/A,2016
163,Too Much Sauce, DJ ESCO Featuring Future & Lil Uzi Vert,N/A,2016
164,Black Barbies, Nicki Minaj X Mike WiLL Made-It,N/A,2016
165,Secrets, The Weeknd,spotify:track:00NAQYOP4AmWR549nnYJZu,2016
166,Better Man, Little Big Town,spotify:track:0jMikeoKkkSOby4ofddqYs,2016
167,Me And Your Mama, Childish Gambino,spotify:track:4r0GVpjSsKSR1biv4fOoa5,2016
168,Dirty Laundry, Carrie Underwood,spotify:track:5qRRiqndqXaq2QBudIrkYU,2016
169,How Far Ill Go, Auli'i Cravalho,spotify:track:6mb6lVLNrcUgLnEN8QnDJd,2016
170,Die For You, The Weeknd,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,2016
171,1 Night, Lil Yachty,spotify:track:40yJGQyEaBbIkXpwMFkXip,2016
172,Fresh Eyes, Andy Grammer,spotify:track:4nMlau89VAjmV7agkl7OY3,2016
173,Sleep Without You, Brett Young,spotify:track:6zkHymyoD3tIqV7RwCAYUw,2016
174,HandClap, Fitz And The Tantrums,spotify:track:4qRaZYiaOsSvWC7VgcxrI0,2016
175,Home, gnash Featuring Johnny Yukon,N/A,2016
176,Play That Song, Train,spotify:track:77hjM9bMmgfTGJXv14UFmi,2016
177,True Colors, The Weeknd,spotify:track:1oGdVdYjeQvojGKDddxLQQ,2016
178,Chantaje, Shakira Featuring Maluma,N/A,2016
179,Middle Of A Memory, Cole Swindell,spotify:track:38gZVjeaeR3gcnCzziAxBm,2016
180,A Guy With A Girl, Blake Shelton,spotify:track:5sjIhQzNljMVrDklI91ezp,2016
181,Rockin, The Weeknd,spotify:track:36YCdzT57us0LhDmCYtrNE,2016
182,All I Know, The Weeknd Featuring Future,N/A,2016
183,Thats My Girl, Fifth Harmony,spotify:track:2ACOWPLUe4A4KuQ5ioD2od,2016
184,Star Of The Show, Thomas Rhett,spotify:track:63OQWdXMq0Pe6pRpWY5gO0,2016
185,False Alarm, The Weeknd,spotify:track:4oeaIftdpT3JuZLcCkKmVE,2016
186,Setting The World On Fire, Kenny Chesney Featuring P!nk,N/A,2016
187,How Ill Always Be, Tim McGraw,spotify:track:2ZekuYUoEIBrUwHOY0gcgB,2016
188,All We Know, The Chainsmokers Featuring Phoebe Ryan,N/A,2016
189,Selfish, PnB Rock,spotify:track:2xbI8Vmyv3TkpTdywpPyNw,2016
190,My Sh*t, A Boogie Wit da Hoodie,spotify:track:5uQOauh47VFt3B2kV9kRXw,2016
191,Youre Welcome, Dwayne Johnson,spotify:track:6U4VqEHy4n5VeiH4pQPL24,2016
192,False Prophets, J. Cole,spotify:track:0eneujAc4PxkdjP25Gsue1,2016
193,Alone, Marshmello,spotify:track:12mGwph2YzDIlChtq3EdXP,2016
194,Dirt On My Boots, Jon Pardi,spotify:track:7f08qp3HROTkfrtNpiYGGo,2016
195,Attention, The Weeknd,spotify:track:6pDVjCUA3B1vg9waKutAsv,2016
196,Ordinary Life, The Weeknd,spotify:track:15k2nBQJ0teDmPZHrOXL2N,2016
197,Sex With Me, Rihanna,spotify:track:6WAxKNbZoGNzQTIvdMqkFs,2016
198,What They Want, Russ,spotify:track:3pndPhlQWjuSoXhcIIdBjv,2016
199,Rockabye, Clean Bandit Featuring Sean Paul & Anne-Marie,N/A,2016
200,Hello, Adele,spotify:track:0ENSn4fwAbCGeFGVUbXEU3,2015
201,Sorry, Justin Bieber,spotify:track:09CtPGIpYB4BrO8qb1RGsF,2015
202,Hotline Bling, Drake,spotify:track:0wwPcA6wtMf6HUMpIRdeP7,2015
203,What Do You Mean?, Justin Bieber,spotify:track:4B0JvthVoAAuygILe3n4Bs,2015
204,Love Yourself, Justin Bieber,spotify:track:50kpGaPAhYJ3sGmk6vplg0,2015
205,The Hills, The Weeknd,spotify:track:7fBv7CLKzipRk6EC6TWHOB,2015
206,Stitches, Shawn Mendes,spotify:track:5jsw9uXEGuKyJzs0boZ1bT,2015
207,Here, Alessia Cara,spotify:track:1wYZZtamWTQAoj8B812uKQ,2015
208,Same Old Love, Selena Gomez,spotify:track:1BZG99C7Co1r6QUC3zaS59,2015
209,Like Im Gonna Lose You, Meghan Trainor Featuring John Legend,N/A,2015
210,679, Fetty Wap Featuring Remy Boyz,N/A,2015
211,Exs & Ohs, Elle King,spotify:track:70eDxAyAraNTiD6lx2ZEnH,2015
212,On My Mind, Ellie Goulding,spotify:track:4nS1sut0R2mgmFitKIShVe,2015
213,Jumpman, Drake & Future,spotify:track:7DH4e83LRgbABs6R7Eu7sF,2015
214,Cant Feel My Face, The Weeknd,spotify:track:22VdIZQfgXJea34mQxlt81,2015
215,Antidote, Travis Scott,spotify:track:1wHZx0LgzFHyeIZkUydNXq,2015
216,Lean On, Major Lazer & DJ Snake Featuring MO,N/A,2015
217,Wildest Dreams, Taylor Swift,spotify:track:59HjlYCeBsxdI0fcm3zglw,2015
218,In The Night, The Weeknd,spotify:track:25KybV9BOUlvcnv7nN3Pyo,2015
219,Dont, Bryson Tiller,spotify:track:3pXF1nA74528Edde4of9CC,2015
220,Somebody To Love, Jordan Smith,spotify:track:3RWzLyBUqoBSX4jTAHo4TP,2015
221,All I Want For Christmas Is You, Mariah Carey,spotify:track:0bYg9bo50gSsH3LtXe2SQn,2015
222,White Iverson, Post Malone,spotify:track:6eT7xZZlB2mwyzJ2sUKG6w,2015
223,Focus, Ariana Grande,spotify:track:1cdzfFjEbUbgTm5nv3FgXR,2015
224,Die A Happy Man, Thomas Rhett,spotify:track:5kNe7PE09d6Kvw5pAsx23n,2015
225,Watch Me, Silento,spotify:track:5RIVoVdkDLEygELLCniZFr,2015
226,Trap Queen, Fetty Wap,spotify:track:2d8JP84HNLKhmd6IYOoupQ,2015
227,Stressed Out, twenty one pilots,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,2015
228,Roses, The Chainsmokers Featuring Rozes,N/A,2015
229,Say It, Tory Lanez,spotify:track:2Gyc6e2cLxA5hoX1NOvYnU,2015
230,Confident, Demi Lovato,spotify:track:0Mn3amMRMoabaoTf1Publ4,2015
231,Perfect, One Direction,spotify:track:3NLnwwAQbbFKcEcV8hDItk,2015
232,Locked Away, R. City Featuring Adam Levine,N/A,2015
233,Break Up In A Small Town, Sam Hunt,spotify:track:7aftSOGSOpSoIlVAQVBb71,2015
234,Where Ya At, Future Featuring Drake,N/A,2015
235,"Me, Myself & I", G-Eazy x Bebe Rexha,spotify:track:6tsA1Pr7JTqXKmnSIrYfNI,2015
236,No Role Modelz, J. Cole,spotify:track:62vpWI1CHwFy7tMIcSStl8,2015
237,Where Are U Now, Skrillex & Diplo With Justin Bieber,spotify:track:66hayvUbTotekKU3H4ta1f,2015
238,Adventure Of A Lifetime, Coldplay,spotify:track:69uxyAqqPIsUyTO8txoP2M,2015
239,Good For You, Selena Gomez Featuring A$AP Rocky,N/A,2015
240,See You Again, Wiz Khalifa Featuring Charlie Puth,spotify:track:4JZ9NUioOgDEVjDuBGukRV,2015
241,Again, Fetty Wap,spotify:track:3ESSGgWzRf1xvP7G5hHMhB,2015
242,Cheerleader, OMI,spotify:track:023OVLNzXhX0j7CxswUt6D,2015
243,Rockin Around The Christmas Tree, Brenda Lee,spotify:track:28fuXrmmF9dYWx25dMW9dP,2015
244,Hit The Quan, iLoveMemphis,spotify:track:4OjuzM3rTWp3q60mEldNSF,2015
245,Drag Me Down, One Direction,spotify:track:2K87XMYnUMqLcX3zvtAF4G,2015
246,Burning House, Cam,spotify:track:2zhk0kypGeOPsaaZcjyc14,2015
247,Hide Away, Daya,spotify:track:0uyZ5ckiIUbFZd3P6RWmrj,2015
248,Back Up, DeJ Loaf Featuring Big Sean,N/A,2015
249,Renegades, X Ambassadors,spotify:track:0fYVliAYKHuPmECRs1pbRf,2015
250,Ill Show You, Justin Bieber,spotify:track:0SNIAtRCPVVLoGEPcuHSIc,2015
251,I Know What You Did Last Summer, Shawn Mendes & Camila Cabello,spotify:track:4I0V8XMIFipKo0csZ6cKMR,2015
252,Exchange, Bryson Tiller,spotify:track:43PuMrRfbyyuz4QpZ3oAwN,2015
253,Gonna, Blake Shelton,spotify:track:57gS5wJqIH6sbtBIIiioNY,2015
254,My House, Flo Rida,spotify:track:6Knv6wdA0luoMUuuoYi2i1,2015
255,Used To Love You, Gwen Stefani,spotify:track:7dhB1xznh2bbCWrFjCSH5x,2015
256,WTF (Where They From), Missy Elliott Featuring Pharrell Williams,N/A,2015
257,Lay It All On Me, Rudimental Featuring Ed Sheeran,N/A,2015
258,Stay A Little Longer, Brothers Osborne,spotify:track:6rqxivjFHp8K0yMiefG56g,2015
259,Do It Like Me, DLOW,spotify:track:0z9hbAY5d0RhmvZr3DWMPK,2015
260,Stand By You, Rachel Platten,spotify:track:3kSXn1osC89W8JcPLozTzs,2015
261,The Fix, Nelly Featuring Jeremih,N/A,2015
262,Cake By The Ocean, DNCE,spotify:track:76hfruVvmfQbw0eYn1nmeC,2015
263,Big Rings, Drake & Future,spotify:track:6kK8TzZrPQGtj59owltWG3,2015
264,Gonna Know We Were Here, Jason Aldean,spotify:track:0mMR63GfhjpxT02rIdq5Mz,2015
265,Back To Back, Drake,spotify:track:5lFDtgWsjRJu8fPOAyJIAK,2015
266,Home Alone Tonight, Luke Bryan Featuring Karen Fairchild,N/A,2015
267,Down In The DM, Yo Gotti Featuring Nicki Minaj,N/A,2015
268,Nothin Like You, Dan + Shay,spotify:track:4W38RXuQNuoTSwVsQA1OGC,2015
269,The Feeling, Justin Bieber Featuring Halsey,N/A,2015
270,I Got The Boy, Jana Kramer,spotify:track:6VZCuvHwk3xmjwgKga0bNi,2015
271,Best Friend, Young Thug,spotify:track:33JcUj9qQDayKswunZP9ar,2015
272,Top Of The World, Tim McGraw,spotify:track:4pdoeoOQSu6DNznlfNc5FP,2015
273,I Love This Life, LOCASH,spotify:track:21jkhW2773dELgTMRJcMfI,2015
274,One Call Away, Charlie Puth,spotify:track:7soJgKhQTO8hLP2JPRkL5O,2015
275,Downtown," Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",N/A,2015
276,Hands To Myself, Selena Gomez,spotify:track:1LoriJC05IrHIDwj3q0KC1,2015
277,When We Were Young, Adele,spotify:track:7IWkJwX9C0J7tHurTD7ViL,2015
278,Come Get Her, Rae Sremmurd,spotify:track:1Ser4X0TKttOvo8bgdytTP,2015
279,Strip It Down, Luke Bryan,spotify:track:5XFu5S1vBY7sNHlheCapOz,2015
280,Blase, Ty Dolla $ign Featuring Future & Rae Sremmurd,N/A,2015
281,New Americana, Halsey,spotify:track:6Xs7OKt6i0Ddq8B4M5Dgvr,2015
282,Smoke Break, Carrie Underwood,spotify:track:46W2wkCzFerbeQbNz3EIaa,2015
283,Irresistible, Fall Out Boy,spotify:track:3Y3gChJoEUTqrtuqJCIPQk,2015
284,Purpose, Justin Bieber,spotify:track:50kpGaPAhYJ3sGmk6vplg0,2015
285,Dibs, Kelsea Ballerini,spotify:track:6FWrlXo99QRmPtOeUSWDjv,2015
286,$ave Dat Money, Lil Dicky Featuring Fetty Wap & Rich Homie Quan,N/A,2015
287,Right Hand, Drake,spotify:track:3lSR267IJfT54p0Gfuw7mi,2015
288,Dessert, Dawin,spotify:track:0mxoXsr14ILAYcXZBMJcOs,2015
289,Mark My Words, Justin Bieber,spotify:track:2SnNaoNhMjC1WRMTWD8qTX,2015
290,Already Callin You Mine, Parmalee,spotify:track:3jSyE8r8vgg8fmwojoMzql,2015
291,Play No Games, Big Sean Featuring Chris Brown & Ty Dolla $ign,N/A,2015
292,Backroad Song, Granger Smith,spotify:track:6naYpFIKihKbGg6lGxpveI,2015
293,Random, G-Eazy,spotify:track:422lAAWQO9TqL1LxIPdhOn,2015
294,Company, Justin Bieber,spotify:track:61uyGDPJ06MkxJtHgPmuyO,2015
295,No Pressure, Justin Bieber Featuring Big Sean,N/A,2015
296,Sorry, Rick Ross Featuring Chris Brown,N/A,2015
297,Drifting, G-Eazy Featuring Chris Brown & Tory Lanez,N/A,2015
298,Liquor, Chris Brown,spotify:track:5u7o3wXWJI7AN1b9KIf3m8,2015
299,Beautiful Drug, Zac Brown Band,spotify:track:0vcfOQOvTCv8ckiRs8Xc1Z,2015
300,Blank Space, Taylor Swift,spotify:track:1p80LdxRV74UKvL8gnD7ky,2014
301,Take Me To Church, Hozier,spotify:track:0aOluBqXYd0rFSCsgDyAWX,2014
302,All About That Bass, Meghan Trainor,spotify:track:0ifSeVGUr7py5GggttDhXw,2014
303,Animals, Maroon 5,spotify:track:2bL2gyO6kBdLkNSkxXNh6x,2014
304,Uptown Funk!, Mark Ronson Featuring Bruno Mars,N/A,2014
305,Shake It Off, Taylor Swift,spotify:track:5xTtaWoae3wi06K5WfVUUH,2014
306,Im Not The Only One, Sam Smith,spotify:track:0fioLzGM8ngbD1w6fMmm45,2014
307,Lips Are Movin, Meghan Trainor,spotify:track:6gj08XDlv9Duc2fPOxUmVD,2014
308,Jealous, Nick Jonas,spotify:track:5NQJnRpJHRaupdegphntQT,2014
309,Love Me Harder, Ariana Grande & The Weeknd,spotify:track:33DjqdGtkJMWlB8dDQWe95,2014
